电影名,韦卓链接,百度链接,夸克链接,迅雷链接,其他链接
['学校2017 학교 2017 (2017)'],http://www.weizhuos.cn/?p=71,视频：百度云盘 密码: srtm https://pan.baidu.com/s/1MFAJ4P4Mt5ft8Wr6enmm1g,,,
['哥斯拉 系列'],http://www.weizhuos.cn/?p=73,2014.视频：百度云盘 提取码：r1f8  https://pan.baidu.com/s/1czWVVAnO1zcNuE1UPCs5QQ,,,
"[""海上钢琴师 La leggenda del pianista sull'oceano (1998)""]",http://www.weizhuos.cn/?p=74,,,,
['赤身的消防员 맨몸의 소방관'],http://www.weizhuos.cn/?p=75,视频：百度云盘 https://yun.baidu.com/s/1pL8Ujgf,,,
['河伯的新娘2017 하백의 신부 2017'],http://www.weizhuos.cn/?p=76,视频：百度云盘    https://pan.baidu.com/s/1o8Dn2mm,,,
['我的男孩 (2017)'],http://www.weizhuos.cn/?p=77,视频：百度云盘 提取码: h178 https://pan.baidu.com/s/1925WnskiJrY0111Hz67f6A,,,
['侏罗纪世界 Jurassic World (2015)'],http://www.weizhuos.cn/?p=78,视频：百度云盘 提取码: zhuo   https://pan.baidu.com/s/1o6pJxcjfqtfEYkc-UgKxOw?pwd=zhuo,视频：夸克云盘 https://pan.quark.cn/s/2df61880be30,,
['我的秘密饭店 마이 시크릿 호텔'],http://www.weizhuos.cn/?p=79,,,,
['魔王 마왕 (2007)'],http://www.weizhuos.cn/?p=80,视频：百度云盘 https://yun.baidu.com/s/1o8QUTD4,,视频：迅雷云盘 提取码：3kxk https://pan.xunlei.com/s/VMarMoxg-_rZRF5Dr8P1zWrFA1,
['七号差馆 七號差館 剧版+影版'],http://www.weizhuos.cn/?p=81,,,,
['七日的王妃 7일의 왕비（2017）'],http://www.weizhuos.cn/?p=85,视频：百度云盘 提取码: 8w6v https://pan.baidu.com/s/1vsUtqTEFrqE9uPI8X-TIiQ,,,
['味想天开 味想天開 (2017)'],http://www.weizhuos.cn/?p=86,视频：百度云盘 密码：9qtc http://pan.baidu.com/s/1eSMMhZs,,,
['秘密森林 비밀의 숲\xa0(2017)'],http://www.weizhuos.cn/?p=87,视频：百度云盘 提取码: 4567   https://pan.baidu.com/s/13LD9kDeaG7xgPiOMGX12Og?pwd=4567,,,
['灿烂的外母 燦爛的外母 (2017)'],http://www.weizhuos.cn/?p=88,视频：百度云盘 密码: t3ev https://pan.baidu.com/s/1dcluYq,,,
['疯狂天后 (2016)'],http://www.weizhuos.cn/?p=89,视频：百度云盘 提取码: 9vqy   https://pan.baidu.com/s/1UYidn_Nmr-wQku604KYPug,,,
['两周 투윅스 (2013)'],http://www.weizhuos.cn/?p=90,视频：百度云盘 https://yun.baidu.com/s/1byHqkY,,,
['功夫瑜伽 (2017)'],http://www.weizhuos.cn/?p=91,视频：百度云盘 提取码：7777 https://pan.baidu.com/s/170sROPX-Yv5ceEVsj05IJA,,,
['我的野蛮女友 엽기적인 그녀 （2017）'],http://www.weizhuos.cn/?p=92,视频：百度云盘 https://pan.baidu.com/s/1kVehHP1,,,
['High Kick 短腿的反击 하이킥! 짧은 다리의 역습 (2011)'],http://www.weizhuos.cn/?p=93,视频：百度云盘 提取码: wza2 https://pan.baidu.com/s/1vAB68In2Uxe8Ha7kd-sBcw,,,
['狙击神探 狙擊神探 (1988)'],http://www.weizhuos.cn/?p=94,视频：百度云盘 https://yun.baidu.com/s/1o6Ccpmi,,,
['萝卜泡菜 깍두기 (2007)'],http://www.weizhuos.cn/?p=95,视频：百度云盘 https://yun.baidu.com/s/1o8OgTV8,,,
['奇怪的搭档 수상한 파트너 （2017）'],http://www.weizhuos.cn/?p=96,视频：百度云盘 密码: qf5t https://pan.baidu.com/s/1Mn7LM1_p-tjh0P2j2THhSg,,,
['守望者 파수꾼\xa0(2010)'],http://www.weizhuos.cn/?p=97,,,视频：迅雷云盘 提取码：5n5f https://pan.xunlei.com/s/VN4lJXYGODqcSgTdXzj9GzxCA1,
['步步惊心：丽 달의 연인-보보경심：려 (2016)'],http://www.weizhuos.cn/?p=98,视频：百度云盘 提取码: jmub https://pan.baidu.com/s/1sD7QMo-1Nup0U-uLczuSDg,,,
['宫锁心玉 (2011)'],http://www.weizhuos.cn/?p=100,视频：百度云盘 提取码：lf2u （保存后重命名删除最后面的1） https://pan.baidu.com/s/1_77hbC7XWmDR69vtY5fTPg,,,
['国民老公 1 -  2'],http://www.weizhuos.cn/?p=101,,,,
['信号 시그널 (2016)'],http://www.weizhuos.cn/?p=102,视频：百度云盘  |  百度云盘 https://pan.baidu.com/s/1kU7Vg4f https://pan.baidu.com/s/15VLhvKo21NOwQNiORxF0dA,,,
['灵触 จิตสัมผัส 3D (2013)'],http://www.weizhuos.cn/?p=103,视频：百度云盘 提取码: gv9r  https://pan.baidu.com/s/18KmbHYjqq5SB5i2KcZY9bg,,,
['太阳的后裔 태양의 후예 （2016）'],http://www.weizhuos.cn/?p=104,视频：百度云盘  提取码: kkts   https://pan.baidu.com/s/1O95mV7imgt_8pDUHvvBJOQ,,,
['悄悄话 귓속말\xa0(2017)'],http://www.weizhuos.cn/?p=105,视频：百度云盘 提取码：TREX  https://pan.baidu.com/s/1S0kHG4exJuRZ09mbEVCKzg,,,
['焦急的罗曼史 애타는 로맨스 （2017）'],http://www.weizhuos.cn/?p=107,视频：百度云盘  密码: x9wr https://pan.baidu.com/s/1QigRdkUAPCrBGTkQd4UGWg,,,
['孤单又灿烂的神：鬼怪 쓸쓸하고 찬란하神 - 도깨비（2016）'],http://www.weizhuos.cn/?p=108,视频：百度云盘 提取码: tak1 https://pan.baidu.com/s/16VRgGNiKkVzpEIQH0Tveeg,,,
['芝加哥打字机 시카고 타자기 (2017)'],http://www.weizhuos.cn/?p=109,视频：百度云盘 提取码：qduq  https://pan.baidu.com/s/1pLnv6X1,,,
['明星大侦探 1 - 6 季'],http://www.weizhuos.cn/?p=110,明星大侦探之头号嫌疑人.视频：百度云盘 提取码：zhuo https://pan.baidu.com/s/1ZxluOUxDHfDkR0l6B9OjlA,,,
"['师任堂：光的日记 사임당, 빛의 일기 (2017)']",http://www.weizhuos.cn/?p=111,视频：百度云盘  https://pan.baidu.com/s/1dFIhtmx,,,
['城市猎人 시티헌터 (2011)'],http://www.weizhuos.cn/?p=112,视频：百度云盘 https://yun.baidu.com/s/1pLM5E8F,,,
['追凶者也 (2016)'],http://www.weizhuos.cn/?p=113,视频：百度云盘  https://pan.baidu.com/s/1jIiN7cq,,,
"['小偷家伙, 小偷骗子 도둑놈 도둑님']",http://www.weizhuos.cn/?p=114,视频：百度云盘  密码: ui65 https://pan.baidu.com/s/1nuK16vn,,,
['甜蜜间谍 달콤한 스파이 (2005)'],http://www.weizhuos.cn/?p=117,视频：百度云盘  密码: 75e5 https://pan.baidu.com/s/1smXnctR,,,
['狐狸的夏天 (2017)'],http://www.weizhuos.cn/?p=118,视频：百度云盘 密码：ksqa http://pan.baidu.com/s/1bpxTwcv,,,
['购物王路易 쇼핑왕루이 (2016)'],http://www.weizhuos.cn/?p=119,视频：百度云盘  提取码: 78wd https://pan.baidu.com/s/1pixGAvwHDpoZ6wy03d7jUw,,,
['冈仁波齐\xa0(2015)'],http://www.weizhuos.cn/?p=120,视频：百度云盘 提取码: yebi  https://pan.baidu.com/s/15jesOw__M5Blmd656jhLcw?pwd=yebi,,,
['金粉世家 (2003)'],http://www.weizhuos.cn/?p=121,,视频：夸克云盘 https://pan.quark.cn/s/7921121b3519,,
['她爱上了我的谎 그녀는 거짓말을 너무 사랑해 （2017）'],http://www.weizhuos.cn/?p=122,视频：百度云盘 提取码: htbc https://pan.baidu.com/s/1hfowbi-5H12uFT0fPCSAtQ,,,
['华胥引之绝爱之城 (2015)'],http://www.weizhuos.cn/?p=123,视频：百度云盘 密码: phk6 https://pan.baidu.com/s/1AwcHmBXg52BWHFQWJsAXnw,,,
['囧女翻身之嗨如花 (2017)'],http://www.weizhuos.cn/?p=124,视频：百度云盘 密码：9u2c http://pan.baidu.com/s/1hrVYCAC,,,
['完美的妻子 완벽한 아내 （2017）'],http://www.weizhuos.cn/?p=125,视频：百度云盘 提取码: umfn  https://pan.baidu.com/s/1Qm2k5_9PTvXgHSWNpjMpZA,,,
['绿帽子'],http://www.weizhuos.cn/?p=126,视频：百度云盘 提取码: a92t   https://pan.baidu.com/s/1kWVNv1YcAPmNsciGmpSVhw,,,
['神探夏洛克 Sherlock Season 1-4'],http://www.weizhuos.cn/?p=127,,,,
['金科长 김과장 (2017)'],http://www.weizhuos.cn/?p=128,视频：百度云盘 密码: e444  https://pan.baidu.com/s/17q48kaMpg7HLWuN2fC_VAQ,,,
['明天和你 내일 그대와 (2017)'],http://www.weizhuos.cn/?p=129,视频：百度云盘 https://pan.baidu.com/s/1bQHGke,,,
['W-两个世界 W （2016）'],http://www.weizhuos.cn/?p=130,视频：百度云盘 提取码:i1yu https://pan.baidu.com/s/170oU9oYu83KBxJkcnBaBXw,,,
['被告人 피고인 （2017）'],http://www.weizhuos.cn/?p=131,视频：百度云盘 https://pan.baidu.com/s/1cxqjRw,,,
['邻家花美男 이웃집 꽃미남 （2013）'],http://www.weizhuos.cn/?p=132,,,,
['内向的老板 내성적인 보스 (2017)'],http://www.weizhuos.cn/?p=133,视频：百度云盘 https://pan.baidu.com/s/1nvMITmx,,,
['傲骨贤妻 The Good Wife Season 1 - 7'],http://www.weizhuos.cn/?p=134,,,,
['Missing 9 미씽나인 (2017)'],http://www.weizhuos.cn/?p=135,视频：百度云盘 提取码: vh3w https://pan.baidu.com/s/16SVw9aH8_nChA6obieziLg,,,
['花样排球 두근두근 스파이크 1 - 2'],http://www.weizhuos.cn/?p=136,视频：百度云盘  提取码：77hx  http://yun.baidu.com/s/1nwJMfPJ,,,
['图书馆员 The Librarians Season 1 - 4'],http://www.weizhuos.cn/?p=137,视频：百度云盘  提取码: 91t8  https://pan.baidu.com/s/10hhmLYIhr49tsGzK5WPLFQ,,,
['爸爸的3次婚礼 (2016)'],http://www.weizhuos.cn/?p=138,视频：百度云盘  |  百度云盘  |  百度云盘 https://yun.baidu.com/s/1i4AR9Pj https://pan.baidu.com/s/1qYGtC0s https://yun.baidu.com/s/1ge8UVon,,,
['三色幻想：宇宙之星 세가지색 판타지 - 우주의 별이 （2017）'],http://www.weizhuos.cn/?p=139,视频：百度云盘 密码：5cf6 http://pan.baidu.com/s/1kUSyuuN,,,
['王二心 더킹 투하츠 (2012)'],http://www.weizhuos.cn/?p=140,视频：百度云盘 密码：vx0w http://pan.baidu.com/s/1jG9zpMQ,,,
['半妖倾城 1 - 2'],http://www.weizhuos.cn/?p=141,,,,
['浪漫医生金师傅 낭만닥터 김사부 （2016）'],http://www.weizhuos.cn/?p=142,视频：百度云盘 提取码: zhuo   https://pan.baidu.com/s/11tITBgXwpJa-1IywBq5w1w?pwd=zhuo,,,
['火星没事 (2009)'],http://www.weizhuos.cn/?p=143,视频：百度云盘  提取码: 8kng   https://pan.baidu.com/s/1qe1qvG4pZZA-2i1Z5aKeQg,,,
['爱情的条件 애정의 조건（2004）'],http://www.weizhuos.cn/?p=144,视频：百度云盘  https://yun.baidu.com/s/1c1spK6,,,
['举重妖精金福珠 역도요정 김복주\xa0(2016)'],http://www.weizhuos.cn/?p=145,视频：百度云盘 提取码：2k5y https://pan.baidu.com/s/1dhM95nY3896Hww1SNIyzSg,,,
['吹吧，微风啊 불어라 미풍아 （2016）'],http://www.weizhuos.cn/?p=146,视频：百度云盘  https://yun.baidu.com/s/1hsr76uS,,,
['七次的初吻 첫 키스만 일곱 번째（2016）'],http://www.weizhuos.cn/?p=147,全9集视频：百度云盘 密码: yw1w http://pan.baidu.com/s/1o8Q5eK6,,,
['风雨哈佛路 Homeless to Harvard: The Liz Murray Story (2003)'],http://www.weizhuos.cn/?p=148,视频：百度云盘 密码:wmfh https://pan.baidu.com/s/1mhPP1Ra,,,
['哦，我的金雨 오 마이 금비 (2016)'],http://www.weizhuos.cn/?p=149,,,视频：迅雷云盘  提取码：ryaa https://pan.xunlei.com/s/VMx5BacgjT9wH3AKPicnNBHaA1,
['寻秦记 (2001)'],http://www.weizhuos.cn/?p=150,,,视频：迅雷云盘 提取码：k9sb https://pan.xunlei.com/s/VMseV5vtgSTTlZw_wfa8ip2EA1,
['特殊失踪专案组：失踪的黑色M 실종느와르 M （2015）'],http://www.weizhuos.cn/?p=151,视频：百度云盘 提取码: ssr1 https://pan.baidu.com/s/1gvTDBi0N1zxxcaIy3XXnPA,,,
['轮回 輪廻 (2005)'],http://www.weizhuos.cn/?p=152,视频：百度云盘 https://pan.baidu.com/s/1slg00SP,,,
['六龙飞天 육룡이 나르샤 （2015）'],http://www.weizhuos.cn/?p=153,视频：百度云盘  密码：97zd http://pan.baidu.com/s/1nv8Gea1,,,
['Love Live! ラブライブ! School idol project 1 - 2 季'],http://www.weizhuos.cn/?p=154,,,,
['关于爱 О любви (2017)'],http://www.weizhuos.cn/?p=155,,视频：夸克云盘 https://pan.quark.cn/s/dd98f7b9323c,视频：迅雷云盘 提取码：4d6g https://pan.xunlei.com/s/VN2Qiv4ideSZBxoM-wYVXI2iA1,
['奇迹 더미라클 (2016)'],http://www.weizhuos.cn/?p=156,视频：百度云盘  密码:n7fe https://pan.baidu.com/s/1mh8oZnM,,,
['夜关门：欲望之花 야관문 : 욕망의 꽃 (2013)'],http://www.weizhuos.cn/?p=157,,,视频：迅雷云盘 提取码：sbyk https://pan.xunlei.com/s/VM_qC7_tu0s6mkAI3Wy-cWQUA1,
['新婚公寓 (2016)'],http://www.weizhuos.cn/?p=158,视频：百度云盘 密码: qxaw https://pan.baidu.com/s/1WJ56Sg4OtE20Ufgbt2MZ2Q,,,
['咱们结婚吧 (2015)'],http://www.weizhuos.cn/?p=159,视频：百度云盘 https://pan.baidu.com/s/1sj3ReUT,,,
['福尔摩斯探案集 共七季 合集'],http://www.weizhuos.cn/?p=160,,,,
['远大前程·双龙会 (2018)'],http://www.weizhuos.cn/?p=161,视频：百度网盘 密码: in9c https://pan.baidu.com/s/1wPuvl68oWaNxHJ_heUvbHw,,,
['美丽吸血鬼 뷰티풀 뱀파이어 (2018)'],http://www.weizhuos.cn/?p=162,视频：百度云盘 提取码: qjgq https://pan.baidu.com/s/17ipvZbpGbfYHJS1FsjBXUw,,,
['栀子花开2017 (2017)'],http://www.weizhuos.cn/?p=163,视频：百度云盘 密码: vswx https://pan.baidu.com/s/1HnLHHw23Y3-QL7mMc7WLNQ,,,
['花样男子 꽃보다 남자 （2009）'],http://www.weizhuos.cn/?p=164,视频：百度云盘 | 百度云盘 | 百度云盘 提取码: pcwe https://yun.baidu.com/s/1gfh8KvD https://yun.baidu.com/s/1Q6eYwIGENkKUOEx3AMfEZA https://pan.baidu.com/s/1dD1BqkQajc1WeWhcFLW_dg,,,
['一粒红尘 (2017)'],http://www.weizhuos.cn/?p=165,视频：百度云盘 密码: fkt3 https://pan.baidu.com/s/1pLr4Zwv,,,
['伙伴 짝패 (2011)'],http://www.weizhuos.cn/?p=166,视频：百度云盘 https://yun.baidu.com/s/1xDqBuuIaVKotfDnoGWQxFQ,,,
['碧海逃生 Solo (2018)'],http://www.weizhuos.cn/?p=168,视频：百度云盘 提取码: vixe https://pan.baidu.com/s/1wWbJrqq-_U6KBbqN-OnXKg,,,
['暗物质 Dark Matter (2007)'],http://www.weizhuos.cn/?p=169,,,视频：迅雷云盘 提取码：ztim https://pan.xunlei.com/s/VMboHr4LmHctzehBnSQVXDFbA1,
['谁是鬼? 俾鬼捉 (1986)'],http://www.weizhuos.cn/?p=170,视频：百度云盘  |  百度云盘 https://pan.baidu.com/s/1eRNUapc https://pan.baidu.com/s/1mjDdfio,,,
['向往的生活 1 - 5 季'],http://www.weizhuos.cn/?p=171,,,,
['拖旅行箱的女人 캐리어를 끄는 여자 【完结】【韩剧】'],http://www.weizhuos.cn/?p=172,,,,
['小姐 아가씨 (2016)'],http://www.weizhuos.cn/?p=173,,,视频：迅雷云盘 提取码：d47p https://pan.xunlei.com/s/VMbUkF1d8Y8fO4osKtH7rMngA1,
['平凡的世界 (2015)'],http://www.weizhuos.cn/?p=174,视频：百度云盘 提取码：6i9o https://pan.baidu.com/s/1tMoVzi27mC5bedRTiR5SRQ,,,
['邻家英雄 동네의 영웅 （2016）'],http://www.weizhuos.cn/?p=175,视频：百度云盘 提取码: muak https://pan.baidu.com/s/1LT_eIOPI7Qc7W4Pi6qUKyw,,,
['特勤 특근 【完结】【韩剧】'],http://www.weizhuos.cn/?p=176,,,,
['任意依恋 함부로 애틋하게 （2016）'],http://www.weizhuos.cn/?p=177,视频 ：百度云盘 提取码：qu5t https://pan.baidu.com/s/1ps98-u9x-IVQ1OpO1lq7VA,,,
['热血教师 The Ron Clark Story (2006)'],http://www.weizhuos.cn/?p=178,视频：百度云盘 提取码: yjb3 https://pan.baidu.com/s/14zNUWwGTWLwN3y647uio7w,,,
['鬼吹灯之黄皮子坟 (2017)'],http://www.weizhuos.cn/?p=179,,,视频：迅雷云盘 提取码：gbce https://pan.xunlei.com/s/VMbMp8OTL6xH7SyOARd34PrzA1,
['人生真美丽 인생은 아름다워 【2010】【完结】【韩剧】'],http://www.weizhuos.cn/?p=180,,,,
['又是吴海英 또 오해영 (2016)'],http://www.weizhuos.cn/?p=181,视频：百度云盘 提取码: 9ena  https://pan.baidu.com/s/1jCanUGkklo9i7f35oVaRmw,,,
['请回答1994 응답하라1994 （2013）'],http://www.weizhuos.cn/?p=182,视频：百度云盘 提取码 2333 https://pan.baidu.com/s/16m_W9AEV3KvkJVsWdWmAdA,,,
['请回答1997 응답하라1997\xa0(2012)'],http://www.weizhuos.cn/?p=183,视频：百度云盘 提取码: 4567   https://pan.baidu.com/s/1Y0ugi-fDTEew-QMmOICCUA?pwd=4567,,,
['戏子 딴따라 (2016)'],http://www.weizhuos.cn/?p=184,视频：百度云盘 密码: zybq https://pan.baidu.com/s/1nu8Th0l,,,
['兽餐 Feast (2005)'],http://www.weizhuos.cn/?p=185,视频：百度云盘 https://pan.baidu.com/s/1y9nYl-bto0hRxg-AcVhX9A,,,
['深夜食堂 심야식당 (2015)'],http://www.weizhuos.cn/?p=186,视频：百度云盘    密码：2w94 http://pan.baidu.com/share/init?shareid=1062987254&uk=3593293516,,,
['TFBOYS偶像手记 (2014)'],http://www.weizhuos.cn/?p=187,视频：百度云盘 https://yun.baidu.com/s/1mg5ihi4,,,
['倒数第二次爱情 끝에서 두 번째 사랑 （2016）'],http://www.weizhuos.cn/?p=188,视频：百度云盘 密码：a4d4 http://pan.baidu.com/s/1dE6f1Pf,,,
['当男人恋爱时 남자가 사랑할 때 (2013)'],http://www.weizhuos.cn/?p=189,,,视频：迅雷云盘 提取码：7gbk https://pan.xunlei.com/s/VMorBbj_0XFBnL_wgC7eRlFMA1,
['微光城市 City of Ember (2008)'],http://www.weizhuos.cn/?p=190,视频：百度云盘 密码: 1s6d https://pan.baidu.com/s/1jH9bFb4,,,
['住在我家的男人 우리 집에 사는 남자 (2016)'],http://www.weizhuos.cn/?p=191,视频：百度云盘 提取码: xgq9  https://pan.baidu.com/s/1cMzIE1iXdV5pOLD-6tyFdA,,,
['快乐结局 Happy End (2017)'],http://www.weizhuos.cn/?p=192,视频：百度云盘 提取码: nmdf   https://pan.baidu.com/s/12wwPgTTsViO53QZAIJli3w,,,
['我唾弃你的坟墓 I Spit on Your Grave 1 - 3'],http://www.weizhuos.cn/?p=193,,,,
['嫌疑人X的献身 (2017)'],http://www.weizhuos.cn/?p=194,视频：百度云盘  提取码: ncu8   https://pan.baidu.com/s/13zvlPwAk-M7-MDxBw-4kzw,,,
['昏迷 코마 【完结】【韩剧】'],http://www.weizhuos.cn/?p=195,,,,
['握拳船笛声 주먹쥐고 뱃고동 (2017)'],http://www.weizhuos.cn/?p=196,视频：百度云盘  密码:efgj https://pan.baidu.com/s/1QM4PanIiAuPIJB8mKpXGyw,,,
['穿透屋顶的High Kick 지붕 뚫고 하이킥 (2009)'],http://www.weizhuos.cn/?p=197,,,,
['迷情站台 Clapham Junction\xa0(2007)'],http://www.weizhuos.cn/?p=199,,,视频：迅雷云盘  https://pan.xunlei.com/s/VNM3lQORSWIr5baYMcRW3R16A1?pwd=b96z#,
['上流社会 상류사회 (2018)'],http://www.weizhuos.cn/?p=200,,视频：夸克云盘 https://pan.quark.cn/s/8b34b8e46795,视频：迅雷云盘 提取码：afn3 https://pan.xunlei.com/s/VN2G4y3q5ZdjROGAq3W10DYAA1,
"['我的女儿琴四月 내 딸, 금사월 (2015)']",http://www.weizhuos.cn/?p=201,,,,
"['杀了我治愈我 킬미, 힐미 （2015）']",http://www.weizhuos.cn/?p=202,视频：百度云盘 https://pan.baidu.com/s/1i48bb85#list/path=%2F&parentPath=%2Fsharelink391154072-559043360983455,,,
['期待恋爱 연애를 기대해 (2013)'],http://www.weizhuos.cn/?p=203,视频：百度云盘 https://yun.baidu.com/s/1c2JYaZ2,,,
['和平饭店 (1995)'],http://www.weizhuos.cn/?p=204,视频：百度云盘  密码: ikdq https://pan.baidu.com/s/1xePadUf-68Xx2KNw031UeA,,,
['破产姐妹 2 Broke Girls Season 1 - 6'],http://www.weizhuos.cn/?p=205,,,,
['鹿鼎记 鹿鼎記  1 - 2'],http://www.weizhuos.cn/?p=206,鹿鼎记2：神龙教 鹿鼎記II 神龍教 (1992)：国语视频：百度网盘 https://pan.baidu.com/s/1nvnQzMD,,,
['话剧结束之后 연극이 끝나고 난 뒤 （2016）'],http://www.weizhuos.cn/?p=207,,,,
['其实是香蕉 1-2 바나나 액츄얼리 1-2 【完结】【韩剧】'],http://www.weizhuos.cn/?p=208,,,,
['情色漫画老师 エロマンガ先生 (2017)'],http://www.weizhuos.cn/?p=210,视频：百度云盘  密码: f4fc https://pan.baidu.com/s/1tU-Os8Uiro7wjqz-sK3t0w,,,
['减法人生 (2016)'],http://www.weizhuos.cn/?p=211,视频：百度云盘  https://pan.baidu.com/s/1i5j01FJ,,,
['想你 보고싶다 (2012)'],http://www.weizhuos.cn/?p=212,视频：百度云盘  https://pan.baidu.com/s/1jHNUHca#list/path=%2F,,,
['38师机动队 38사기동대 （2016）'],http://www.weizhuos.cn/?p=213,,,视频：迅雷云盘 提取码：v3ue https://pan.xunlei.com/s/VMceT5oJVLKSU9R3-F5zIGcyA1,
['毒液：致命守护者 Venom\xa0(2018)'],http://www.weizhuos.cn/?p=214,视频：百度云盘 提取码: webo   https://pan.baidu.com/s/1Nvhj6giun_v5iOmy3LIbjQ?pwd=webo,,,
['别那么骄傲 1 - 2'],http://www.weizhuos.cn/?p=215,视频：百度云盘 提取码: 5y4f   https://pan.baidu.com/s/1PCF06saYSbdui3_tzgbDFA,,,
['总理和我 총리와 나 (2013)'],http://www.weizhuos.cn/?p=216,视频：百度云盘 提取码: v73c https://pan.baidu.com/s/1eT21ctG,,,
['火花 불꽃 (2000)'],http://www.weizhuos.cn/?p=217,视频：百度云盘 https://yun.baidu.com/s/1mhtA4S4,,,
['大丈夫 (2014)'],http://www.weizhuos.cn/?p=218,视频：百度云盘 （请用电脑点开此链接） https://yun.baidu.com/share/link?shareid=3958840338&uk=2449849341,,,
['毕打自己人 畢打自己人\xa0(2008)'],http://www.weizhuos.cn/?p=219,视频：百度云盘 提取码: n7x7 https://pan.baidu.com/s/1sM9QLlU-2PhmkggxG4OZqA,,,
['堕落色戒 Decadencia (2015)'],http://www.weizhuos.cn/?p=220,,,视频：迅雷云盘 提取码：qd8j https://pan.xunlei.com/s/VMaMXm5wclE00rEeWYiKLznvA1,
['雪之女王 눈의 여왕 (2006)'],http://www.weizhuos.cn/?p=221,,,,
['绝顶 절정 (2011)'],http://www.weizhuos.cn/?p=223,视频：百度云盘   密码: kv53 https://pan.baidu.com/s/1kUPR6B1,,,
['超少年密码 (2016)'],http://www.weizhuos.cn/?p=224,视频：百度云盘 密码: 3hx8 https://pan.baidu.com/s/1o8smda6,,,
['皇太子的初恋 황태자의 첫사랑\xa0(2004)'],http://www.weizhuos.cn/?p=225,视频：百度云盘 提取码: jpst https://pan.baidu.com/s/1jHUDvKU,,,
['善良的男人 세상 어디에도 없는 착한남자 (2012)'],http://www.weizhuos.cn/?p=227,视频：百度云盘 密码：fzdn http://pan.baidu.com/s/1i5wcJrR,,,
['给我钱 Show Me The Money 第1 ~ 5季'],http://www.weizhuos.cn/?p=228,视频：百度云盘 密码: a8w6 https://pan.baidu.com/s/1aDidq1tbsT6vVvITpmkFQQ,,,
['医家兄弟 의가형제 【完结】【韩剧】'],http://www.weizhuos.cn/?p=229,,,,
['不灭的女神 불멸의 여신 (2016)'],http://www.weizhuos.cn/?p=230,视频：百度云盘   密码: fawc https://pan.baidu.com/s/1i49GGw1,,,
['一线钟情 (2014)'],http://www.weizhuos.cn/?p=231,视频：百度云盘 https://yun.baidu.com/s/1qWJrLi0,,,
['妻子的诱惑 아내의 유혹 (2008)'],http://www.weizhuos.cn/?p=232,视频：百度云盘  提取码: fvcj https://pan.baidu.com/s/1GYtpE_KaCIqHTmfNh8rtrA,,,
['我的邻居是EXO 우리 옆집에 엑소가 산다 【完结】【韩剧】'],http://www.weizhuos.cn/?p=233,,,,
